10_4_P_S_A__1,10,4,21.39,2.45,22.56,13.82,47.5
10_4_P_S_A__2,10,4,21.91,2.71,23.04,15.18,67.67
10_4_P_S_A__3,10,4,24.14,2.43,23.64,16.64,63.5
10_4_P_S_A__4,10,4,18.84,2.4,23.14,12.64,53.75
10_4_P_S_F__0,10,4,22.64,2.65,23.44,14.64,65.2
10_4_P_S_F__1,10,4,22.55,2.66,24.3,16.27,50.86
10_4_P_S_F__2,10,4,21.0,2.37,21.8,15.09,57.17
10_4_P_S_F__3,10,4,21.45,2.57,24.0,14.45,61.0
10_4_P_S_F__4,10,4,24.45,2.57,21.7,15.82,66.2
10_4_P_S_M__0,10,4,24.5,2.41,23.95,17.18,48.17
10_4_P_S_M__1,10,4,16.57,2.47,21.55,13.0,40.5
10_4_P_S_M__2,10,4,20.09,2.39,21.09,12.82,53.75
10_4_P_S_M__3,10,4,26.2,2.56,22.73,19.64,69.6
10_4_P_S_M__4,10,4,25.0,2.73,24.07,21.0,63.67
10_4_Se_R_A__0,10,4,24.27,20.27,121.07,17.91,61.4
10_4_Se_R_A__1,10,4,25.36,22.19,119.6,17.0,87.67
10_4_Se_R_A__2,10,4,23.73,24.03,127.39,19.0,66.75
10_4_Se_R_A__3,10,4,21.25,22.3,127.16,15.82,58.25
10_4_Se_R_A__4,10,4,25.66,18.31,122.78,17.73,60.8
10_4_Se_R_F__0,10,4,23.52,19.78,120.68,16.09,93.25
10_4_Se_R_F__1,10,4,21.34,22.25,121.79,15.27,42.0
10_4_Se_R_F__2,10,4,20.02,23.73,113.06,15.0,63.17
10_4_Se_R_F__3,10,4,21.3,21.79,118.63,11.91,46.33
10_4_Se_R_F__4,10,4,23.25,21.87,120.31,17.09,63.17
10_4_Se_R_M__0,10,4,23.73,22.29,123.37,15.27,44.33
10_4_Se_R_M__1,10,4,20.55,18.43,116.3,14.91,46.83
10_4_Se_R_M__2,10,4,20.73,21.31,131.5,13.0,69.5
10_4_Se_R_M__3,10,4,23.55,22.64,121.01,15.09,46.17
10_4_Se_R_M__4,10,4,27.3,20.63,119.79,18.36,57.33
10_4_Se_S_A__0,10,4,17.86,21.59,22.0,12.18,53.33
10_4_Se_S_A__1,10,4,23.82,22.04,22.46,17.55,59.0
10_4_Se_S_A__2,10,4,20.05,21.55,23.14,15.55,53.8
10_4_Se_S_A__3,10,4,22.77,21.17,22.78,16.36,63.75
10_4_Se_S_A__4,10,4,24.2,17.15,24.88,16.09,61.25
10_4_Se_S_F__0,10,4,23.55,20.66,21.77,14.91,85.75
10_4_Se_S_F__1,10,4,20.77,21.84,22.35,13.36,43.14
10_4_Se_S_F__2,10,4,21.43,18.42,20.74,16.64,78.8
10_4_Se_S_F__3,10,4,25.61,23.57,21.74,19.36,74.83
10_4_Se_S_F__4,10,4,25.02,19.32,23.02,15.91,50.86
10_4_Se_S_M__0,10,4,21.05,19.59,24.66,13.45,62.75
10_4_Se_S_M__1,10,4,18.7,20.96,26.07,11.36,45.8
10_4_Se_S_M__2,10,4,20.07,20.39,24.84,13.45,51.6
10_4_Se_S_M__3,10,4,21.64,18.91,25.31,18.91,78.5
10_4_Se_S_M__4,10,4,20.91,18.65,22.86,16.27,64.6
10_8_P_R_A__0,10,8,22.3,2.42,105.79,13.91,75.33
10_8_P_R_A__1,10,8,23.4,2.52,133.88,15.09,63.75
10_8_P_R_A__2,10,8,21.5,2.75,121.22,10.73,62.0
10_8_P_R_A__3,10,8,22.88,2.61,116.5,15.0,49.6
10_8_P_R_A__4,10,8,22.51,2.78,122.35,14.09,55.75
10_8_P_R_F__0,10,8,22.15,2.58,120.66,11.36,51.2
10_8_P_R_F__1,10,8,22.35,2.43,119.34,16.27,56.57
10_8_P_R_F__2,10,8,23.76,2.5,125.4,14.82,48.14
10_8_P_R_F__3,10,8,23.7,2.68,120.53,15.09,71.4
10_8_P_R_F__4,10,8,24.94,2.67,125.44,15.27,54.33
10_8_P_R_M__0,10,8,23.73,2.5,120.0,17.09,60.2
10_8_P_R_M__1,10,8,20.5,2.59,117.8,12.45,48.8
10_8_P_R_M__2,10,8,20.88,2.7,122.23,13.82,47.4
10_8_P_R_M__3,10,8,22.57,2.47,113.55,13.09,45.0
10_8_P_R_M__4,10,8,21.91,2.52,119.69,15.64,46.33
10_8_P_S_A__0,10,8,22.39,2.54,21.95,12.09,37.6
10_8_P_S_A__1,10,8,23.31,2.57,22.46,14.73,42.6
10_8_P_S_A__2,10,8,21.8,2.56,21.52,11.27,105.0
10_8_P_S_A__3,10,8,24.65,2.64,23.22,16.0,61.25
10_8_P_S_A__4,10,8,22.48,2.72,24.07,15.36,56.5
10_8_P_S_F__0,10,8,21.83,2.6,24.53,11.36,47.6
10_8_P_S_F__1,10,8,24.02,2.5,24.21,12.45,41.0
10_8_P_S_F__2,10,8,20.26,2.62,23.52,12.09,48.0
10_8_P_S_F__3,10,8,21.65,2.46,22.02,15.0,61.0
10_8_P_S_F__4,10,8,20.9,2.58,23.72,12.09,36.14
10_8_P_S_M__0,10,8,24.95,2.67,23.47,15.73,71.25
10_8_P_S_M__1,10,8,21.95,2.5,24.78,10.64,49.75
10_8_P_S_M__2,10,8,24.15,2.33,25.22,17.55,91.75
10_8_P_S_M__3,10,8,23.32,2.58,22.46,13.27,43.67
10_8_P_S_M__4,10,8,22.41,2.55,25.45,16.18,50.67
10_8_Se_R_A__0,10,8,22.59,19.98,112.21,14.64,55.75
10_8_Se_R_A__1,10,8,22.06,23.34,116.36,15.45,59.25
10_8_Se_R_A__2,10,8,24.27,21.37,113.59,13.27,80.33
10_8_Se_R_A__3,10,8,23.61,22.59,120.91,10.45,46.67
10_8_Se_R_A__4,10,8,23.17,23.67,120.28,13.09,54.0
10_8_Se_R_F__0,10,8,21.35,24.25,119.01,13.45,35.5
10_8_Se_R_F__1,10,8,21.58,19.55,126.46,12.45,62.6
10_8_Se_R_F__2,10,8,20.01,20.22,117.42,14.55,69.2
10_8_Se_R_F__3,10,8,22.49,20.63,121.27,11.64,58.4
10_8_Se_R_F__4,10,8,21.97,20.93,126.12,13.73,40.86
10_8_Se_R_M__0,10,8,21.86,19.13,115.85,12.18,50.5
10_8_Se_R_M__1,10,8,25.72,18.67,113.74,13.82,65.0
10_8_Se_R_M__2,10,8,22.91,21.77,113.31,14.82,67.0
10_8_Se_R_M__3,10,8,24.53,20.69,121.19,16.82,58.6
10_8_Se_R_M__4,10,8,20.41,18.18,123.54,12.36,57.0
10_8_Se_S_A__0,10,8,24.31,21.54,24.63,14.0,47.75
10_8_Se_S_A__1,10,8,22.62,21.46,23.45,13.18,80.33
10_8_Se_S_A__2,10,8,21.77,19.28,23.44,13.18,59.67
10_8_Se_S_A__3,10,8,20.92,22.13,22.21,16.55,47.8
10_8_Se_S_A__4,10,8,24.14,21.05,23.19,15.82,36.0
10_8_Se_S_F__0,10,8,21.69,21.2,24.46,14.27,54.67
10_8_Se_S_F__1,10,8,22.48,20.32,22.12,13.36,46.0
10_8_Se_S_F__2,10,8,21.68,20.39,22.18,13.36,50.43
10_8_Se_S_F__3,10,8,19.22,20.98,20.89,9.36,55.25
10_8_Se_S_F__4,10,8,22.95,20.43,24.51,13.55,53.83
10_8_Se_S_M__0,10,8,23.55,21.23,24.79,15.45,56.0
10_8_Se_S_M__1,10,8,23.19,19.44,24.53,11.91,40.6
10_8_Se_S_M__2,10,8,22.76,19.02,23.06,13.45,44.8
10_8_Se_S_M__3,10,8,24.06,23.56,23.04,15.73,49.0
10_8_Se_S_M__4,10,8,26.55,21.58,24.51,17.09,60.6
15_2_P_R_A__0,15,2,20.25,2.66,117.76,17.56,68.6
15_2_P_R_A__1,15,2,21.22,2.65,128.69,17.62,65.5
15_2_P_R_A__2,15,2,22.84,2.78,113.23,18.19,71.6
15_2_P_R_A__3,15,2,22.47,2.64,130.99,19.81,75.17
15_2_P_R_A__4,15,2,25.88,2.18,124.31,21.81,108.25
15_2_P_R_F__0,15,2,18.56,2.54,120.91,15.12,52.22
15_2_P_R_F__1,15,2,25.88,2.47,122.72,20.69,87.5
15_2_P_R_F__2,15,2,22.19,2.57,120.87,19.31,88.86
15_2_P_R_F__3,15,2,22.66,2.64,116.77,18.75,96.14
15_2_P_R_F__4,15,2,20.75,2.4,124.52,16.06,64.38
15_2_P_R_M__0,15,2,22.41,2.81,119.45,18.31,75.86
15_2_P_R_M__1,15,2,21.53,2.47,120.38,18.38,59.25
15_2_P_R_M__2,15,2,21.62,2.28,117.86,18.44,84.0
15_2_P_R_M__3,15,2,20.47,2.48,120.66,16.62,81.8
15_2_P_R_M__4,15,2,21.41,2.45,125.8,18.0,69.86
15_2_P_S_A__0,15,2,21.69,2.76,23.14,18.75,61.83
15_2_P_S_A__1,15,2,21.06,2.37,21.34,16.06,81.25
15_2_P_S_A__2,15,2,30.03,2.68,23.88,26.44,91.67
15_2_P_S_A__3,15,2,22.88,2.37,24.52,18.06,60.0
15_2_P_S_A__4,15,2,23.91,2.53,22.86,20.88,88.6
15_2_P_S_F__0,15,2,23.34,2.62,23.89,17.56,57.7
15_2_P_S_F__1,15,2,24.78,2.35,23.99,20.12,79.0
15_2_P_S_F__2,15,2,25.72,2.2,23.38,19.12,94.0
15_2_P_S_F__3,15,2,22.72,2.61,23.91,17.62,75.38
15_2_P_S_F__4,15,2,18.81,2.55,23.24,15.19,60.25
15_2_P_S_M__0,15,2,23.66,2.5,24.27,17.56,73.67
15_2_P_S_M__1,15,2,23.56,2.76,23.2,18.38,76.17
15_2_P_S_M__2,15,2,20.38,2.91,23.47,16.06,64.17
15_2_P_S_M__3,15,2,23.19,2.6,22.33,20.12,107.2
15_2_P_S_M__4,15,2,22.62,2.61,23.52,18.75,72.57
15_2_Se_R_A__0,15,2,22.09,20.13,125.42,17.75,54.14
15_2_Se_R_A__1,15,2,27.25,19.18,120.95,22.25,100.6
15_2_Se_R_A__2,15,2,22.19,16.23,121.46,16.88,86.6
15_2_Se_R_A__3,15,2,20.56,22.47,123.7,16.88,59.67
15_2_Se_R_A__4,15,2,24.5,17.92,125.2,17.25,70.2
15_2_Se_R_F__0,15,2,24.28,19.16,116.85,20.0,76.0
15_2_Se_R_F__1,15,2,24.22,14.03,122.85,20.69,79.11
15_2_Se_R_F__2,15,2,21.84,19.11,130.84,17.75,66.33
15_2_Se_R_F__3,15,2,22.88,16.5,118.63,18.06,90.43
15_2_Se_R_F__4,15,2,24.16,17.1,129.82,19.56,83.75
15_2_Se_R_M__0,15,2,23.31,19.31,123.42,21.38,95.5
15_2_Se_R_M__1,15,2,21.81,19.81,123.05,18.62,79.33
15_2_Se_R_M__2,15,2,23.31,20.19,122.95,17.88,72.67
15_2_Se_R_M__3,15,2,24.94,18.82,122.38,21.56,77.43
15_2_Se_R_M__4,15,2,25.09,18.47,121.81,21.31,86.33
15_2_Se_S_A__0,15,2,23.5,16.96,24.27,17.81,66.5
15_2_Se_S_A__1,15,2,25.97,18.85,24.32,22.62,94.2
15_2_Se_S_A__2,15,2,21.22,17.14,22.97,19.56,77.6
15_2_Se_S_A__3,15,2,24.47,17.2,21.96,20.06,61.14
15_2_Se_S_A__4,15,2,26.03,21.89,22.55,20.62,70.71
15_2_Se_S_F__0,15,2,23.59,17.39,22.34,19.88,88.71
15_2_Se_S_F__1,15,2,24.25,16.37,23.22,20.31,81.88
15_2_Se_S_F__2,15,2,26.72,12.03,25.46,22.12,69.27
15_2_Se_S_F__3,15,2,21.56,21.26,22.59,18.0,64.11
15_2_Se_S_F__4,15,2,21.81,21.6,23.86,17.19,55.7
15_2_Se_S_M__0,15,2,23.12,18.73,21.99,19.88,108.0
15_2_Se_S_M__1,15,2,22.69,15.51,23.45,18.75,107.8
15_2_Se_S_M__2,15,2,22.56,18.42,23.31,16.75,105.0
15_2_Se_S_M__3,15,2,22.12,14.97,23.52,17.0,85.6
15_2_Se_S_M__4,15,2,22.5,13.94,23.88,18.56,78.33
15_4_P_R_A__0,15,4,24.45,2.6,126.26,17.31,87.2
15_4_P_R_A__1,15,4,22.45,2.26,122.62,13.88,66.75
15_4_P_R_A__2,15,4,24.2,2.36,123.6,17.94,61.67
15_4_P_R_A__3,15,4,23.42,2.73,120.66,16.56,65.5
15_4_P_R_A__4,15,4,23.7,2.44,118.66,16.88,73.0
15_4_P_R_F__0,15,4,22.91,2.63,125.04,17.5,75.75
15_4_P_R_F__1,15,4,27.22,2.49,126.36,19.62,68.0
15_4_P_R_F__2,15,4,20.75,2.49,119.51,15.94,80.83
15_4_P_R_F__3,15,4,23.66,2.45,121.41,17.44,65.56
15_4_P_R_F__4,15,4,22.47,2.26,128.94,15.31,70.86
15_4_P_R_M__0,15,4,23.94,2.52,121.44,15.5,57.57
15_4_P_R_M__1,15,4,25.92,2.47,129.02,15.88,74.33
15_4_P_R_M__2,15,4,23.59,2.62,125.1,15.88,82.2
15_4_P_R_M__3,15,4,20.91,2.47,125.36,15.56,69.0
15_4_P_R_M__4,15,4,24.19,2.48,115.34,17.31,62.29
15_4_P_S_A__0,15,4,21.83,2.48,24.36,17.12,55.14
15_4_P_S_A__1,15,4,23.38,2.62,24.33,15.31,46.29
15_4_P_S_A__2,15,4,22.89,2.43,23.27,17.12,74.2
15_4_P_S_A__3,15,4,20.06,2.43,23.89,13.88,55.17
15_4_P_S_A__4,15,4,23.92,2.68,23.99,13.62,65.75
15_4_P_S_F__0,15,4,22.38,2.47,21.52,13.5,80.5
15_4_P_S_F__1,15,4,25.0,2.47,22.91,17.69,81.86
15_4_P_S_F__2,15,4,24.39,2.45,23.53,18.75,54.45
15_4_P_S_F__3,15,4,24.47,2.75,24.47,18.44,83.86
